date,warehouse_location,category,product_name,base_price,is_promotion,current_stock_on_hand,supplier_lead_time_days,rolling_avg_7d,rolling_avg_30d,units_sold
2/24/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,11.43,9.37,14
2/25/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,12.29,9.4,8
2/26/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,11.57,9.57,12
2/27/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,11.29,9.57,10
2/28/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.86,9.5,11
3/1/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.86,9.77,5
3/2/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.43,9.87,11
3/3/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.14,9.77,6
3/4/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9,9.5,14
3/5/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.86,9.57,6
3/6/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9,9.67,14
3/7/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.57,9.67,11
3/8/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.57,9.73,2
3/9/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.14,9.57,12
3/10/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.29,9.73,10
3/11/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.86,9.63,7
3/12/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.86,9.4,13
3/13/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.86,9.43,9
3/14/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.14,9.5,7
3/15/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.57,9.4,8
3/16/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.43,9.4,13
3/17/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.57,9.6,7
3/18/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.14,9.77,7
3/19/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.14,9.9,10
3/20/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.71,9.97,11
3/21/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9,9.9,3
3/22/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.43,9.53,2
3/23/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.57,9.17,9
3/24/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7,9.1,4
3/25/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.57,8.97,11
3/26/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.14,8.9,11
3/27/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.29,8.8,3
3/28/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.14,8.63,2
3/29/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6,8.3,12
3/30/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,8.37,10
3/31/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.57,8.33,10
4/1/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.43,8.5,14
4/2/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.86,8.6,10
4/3/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.71,8.73,14
4/4/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.29,8.73,3
4/5/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.43,8.63,8
4/6/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.86,8.43,7
4/7/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.43,8.3,10
4/8/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.43,8.57,2
4/9/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.71,8.23,8
4/10/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,8.17,11
4/11/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7,8.3,12
4/12/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,8.27,12
4/13/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.86,8.37,7
4/14/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.86,8.37,8
4/15/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.57,8.37,9
4/16/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.57,8.23,7
4/17/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.43,8.23,3
4/18/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,8.1,4
4/19/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.14,7.9,11
4/20/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7,7.9,10
4/21/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,8.13,3
4/22/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.71,8.17,2
4/23/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.71,7.93,10
4/24/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.14,8.13,6
4/25/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.57,7.97,7
4/26/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7,7.83,12
4/27/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.14,8.13,5
4/28/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.43,8.23,4
4/29/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.57,7.97,3
4/30/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.71,7.73,3
5/1/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.71,7.5,2
5/2/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.14,7.1,5
5/3/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,4.86,6.93,6
5/4/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,4,6.67,8
5/5/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,4.43,6.83,9
5/6/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.14,6.87,9
5/7/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6,6.93,7
5/8/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.57,6.83,9
5/9/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.57,7.07,11
5/10/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.43,7.17,12
5/11/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.29,7.2,7
5/12/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.14,7.03,5
5/13/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.57,6.8,6
5/14/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.14,6.77,7
5/15/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.14,6.73,12
5/16/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.57,6.83,9
5/17/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,6.9,8
5/18/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.71,7.07,11
5/19/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,7.3,4
5/20/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.14,7.07,7
5/21/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,6.97,7
5/22/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,7.1,5
5/23/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.29,7.2,8
5/24/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.14,7.13,4
5/25/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.57,7.07,10
5/26/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.43,7.17,8
5/27/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7,7.03,3
5/28/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.43,6.97,2
5/29/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.71,6.9,2
5/30/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.29,6.87,5
5/31/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,4.86,6.93,6
6/1/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.14,7.07,13
6/2/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.57,7.33,10
6/3/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.86,7.47,2
6/4/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.71,7.27,2
6/5/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.71,7.03,13
6/6/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.29,7.17,13
6/7/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.43,7.37,9
6/8/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.86,7.37,4
6/9/2025,Dubai,Corsets,Elite Lace Corset,85,1,358,15,7.57,7.13,30
6/10/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.43,7.73,7
6/11/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,11.14,7.73,8
6/12/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,12,7.83,2
6/13/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.43,7.7,13
6/14/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.43,7.9,7
6/15/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.14,7.73,10
6/16/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,11,7.77,2
6/17/2025,Dubai,Corsets,Elite Lace Corset,85,1,358,15,7,7.57,10
6/18/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,7.53,11
6/19/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.86,7.77,10
6/20/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9,7.87,3
6/21/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.57,7.73,13
6/22/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.43,8,14
6/23/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9,8.2,12
6/24/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.43,8.47,10
6/25/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.43,8.47,10
6/26/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.29,8.53,12
6/27/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.57,8.83,9
6/28/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,11.43,9.07,4
6/29/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.14,9.13,6
6/30/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9,9.17,3
7/1/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.71,9.07,3
7/2/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.71,8.73,8
7/3/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.43,8.67,4
7/4/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.29,8.73,3
7/5/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,4.43,8.77,6
7/6/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,4.71,8.53,2
7/7/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,4.14,8.17,14
7/8/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.71,8.33,11
7/9/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.86,8.57,13
7/10/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.57,8,2
7/11/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.29,7.83,13
7/12/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.71,8,6
7/13/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.71,8.13,3
7/14/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.86,7.8,6
7/15/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.71,7.77,13
7/16/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8,7.87,8
7/17/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.29,8.07,5
7/18/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.71,7.9,6
7/19/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.71,7.73,14
7/20/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.86,7.87,3
7/21/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.86,7.87,12
7/22/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.71,7.83,2
7/23/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.14,7.43,5
7/24/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.71,7.2,7
7/25/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7,7.1,8
7/26/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.29,7.03,5
7/27/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6,6.8,7
7/28/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.57,6.73,4
7/29/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.43,6.73,13
7/30/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7,6.97,7
7/31/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.29,7.1,9
8/1/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.57,7.3,12
8/2/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.14,7.43,11
8/3/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9,7.67,11
8/4/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.57,7.93,7
8/5/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10,7.97,8
8/6/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.29,8.17,3
8/7/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.71,7.8,2
8/8/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.71,7.5,3
8/9/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.43,7.17,2
8/10/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.14,7.17,10
8/11/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5,7.07,3
8/12/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,4.43,6.97,6
8/13/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,4.14,7.07,2
8/14/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,4,6.93,14
8/15/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.71,6.97,10
8/16/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.71,7.03,9
8/17/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.71,7.17,3
8/18/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.71,7.07,11
8/19/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.86,6.97,8
8/20/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.14,7.13,11
8/21/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.43,7.1,5
8/22/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.14,7.2,6
8/23/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.57,7.23,6
8/24/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.14,7.2,14
8/25/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.71,7.4,14
8/26/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.14,7.7,12
8/27/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.71,7.87,6
8/28/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9,7.93,14
8/29/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.29,7.97,5
8/30/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.14,7.9,8
8/31/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.43,7.87,7
9/1/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.43,7.7,6
9/2/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,7.53,10
9/3/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8,7.5,4
9/4/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.71,7.4,12
9/5/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,7.53,14
9/6/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.71,7.9,2
9/7/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.86,7.9,12
9/8/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.57,8.2,13
9/9/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.57,8.57,2
9/10/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.43,8.3,13
9/11/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.71,8.63,2
9/12/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,8.5,13
9/13/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.14,8.87,13
9/14/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.71,8.83,2
9/15/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,8.57,5
9/16/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.14,8.43,5
9/17/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.57,8.5,11
9/18/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.29,8.5,8
9/19/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.14,8.5,9
9/20/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.57,8.43,12
9/21/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,8.67,3
9/22/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.57,8.57,9
9/23/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.14,8.67,8
9/24/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.57,8.47,9
9/25/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.29,8.3,5
9/26/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.86,8.07,4
9/27/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.14,8,9
9/28/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.71,7.83,8
9/29/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,7.93,5
9/30/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.86,7.83,2
10/1/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6,7.67,2
10/2/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5,7.53,13
10/3/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.14,7.63,12
10/4/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.29,7.9,10
10/5/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,7.83,10
10/6/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.71,7.7,10
10/7/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.43,7.97,5
10/8/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.86,7.73,14
10/9/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.57,7.77,2
10/10/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9,7.77,11
10/11/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.86,7.7,9
10/12/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.71,7.93,11
10/13/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.86,7.87,7
10/14/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.43,7.67,6
10/15/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,8.57,7.8,6
10/16/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,7.83,2
10/17/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.43,7.73,2
10/18/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.14,7.43,6
10/19/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.71,7.37,9
10/20/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.43,7.37,5
10/21/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.14,7.13,10
10/22/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.71,7.37,3
10/23/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.29,7.17,2
10/24/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,5.29,6.97,9
10/25/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.29,6.97,6
10/26/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.29,7,9
10/27/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.29,7.17,5
10/28/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6.29,7.03,8
10/29/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,6,7.03,14
10/30/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,7.57,7.33,13
10/31/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.14,7.7,13
11/1/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,9.71,8.07,11
11/2/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.43,8,12
11/3/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,10.86,8,11
11/4/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,11.71,8.03,14
11/5/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,12.57,8.17,8
11/6/2025,Dubai,Corsets,Elite Lace Corset,85,0,358,15,11.71,8.1,10
