date,warehouse_location,category,product_name,base_price,is_promotion,local_temp_c,reorder_point,storage_cost_per_unit,current_stock_on_hand,supplier_lead_time_days,rolling_avg_7d,rolling_avg_30d,units_sold
2025-02-10,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,9.57,8.80,12
2025-02-11,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,10.86,8.87,7
2025-02-12,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,9.86,9.00,10
2025-02-13,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,10.00,9.00,8
2025-02-14,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,10.14,8.93,7
2025-02-15,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,10.14,8.73,2
2025-02-16,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,8.57,8.43,3
2025-02-17,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,7.00,8.33,8
2025-02-18,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,6.43,8.17,13
2025-02-19,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,7.29,8.47,14
2025-02-20,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,7.86,8.67,13
2025-02-21,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,8.57,9.00,11
2025-02-22,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,9.14,9.07,8
2025-02-23,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,10.00,9.10,13
2025-02-24,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,11.43,9.37,14
2025-02-25,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,12.29,9.40,8
2025-02-26,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,11.57,9.57,12
2025-02-27,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,11.29,9.57,10
2025-02-28,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,10.86,9.50,11
2025-03-01,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,10.86,9.77,5
2025-03-02,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,10.43,9.87,11
2025-03-03,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,10.14,9.77,6
2025-03-04,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,9.00,9.50,14
2025-03-05,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,9.86,9.57,6
2025-03-06,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,9.00,9.67,14
2025-03-07,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,9.57,9.67,11
2025-03-08,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,9.57,9.73,2
2025-03-09,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,9.14,9.57,12
2025-03-10,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,9.29,9.73,10
2025-03-11,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,9.86,9.63,7
2025-03-12,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,8.86,9.40,13
2025-03-13,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,9.86,9.43,9
2025-03-14,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,9.14,9.50,7
2025-03-15,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,8.57,9.40,8
2025-03-16,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,9.43,9.40,13
2025-03-17,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,9.57,9.60,7
2025-03-18,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,9.14,9.77,7
2025-03-19,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,9.14,9.90,10
2025-03-20,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,8.71,9.97,11
2025-03-21,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,9.00,9.90,3
2025-03-22,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,8.43,9.53,2
2025-03-23,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,7.57,9.17,9
2025-03-24,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,7.00,9.10,4
2025-03-25,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,6.57,8.97,11
2025-03-26,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,7.14,8.90,11
2025-03-27,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,7.29,8.80,3
2025-03-28,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,6.14,8.63,2
2025-03-29,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,6.00,8.30,12
2025-03-30,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,7.43,8.37,10
2025-03-31,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,7.57,8.33,10
2025-04-01,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,8.43,8.50,14
2025-04-02,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,8.86,8.60,10
2025-04-03,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,8.71,8.73,14
2025-04-04,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,10.29,8.73,3
2025-04-05,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,10.43,8.63,8
2025-04-06,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,9.86,8.43,7
2025-04-07,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,9.43,8.30,10
2025-04-08,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,9.43,8.57,2
2025-04-09,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,7.71,8.23,8
2025-04-10,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,7.43,8.17,11
2025-04-11,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,7.00,8.30,12
2025-04-12,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,8.29,8.27,12
2025-04-13,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,8.86,8.37,7
2025-04-14,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,8.86,8.37,8
2025-04-15,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,8.57,8.37,9
2025-04-16,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,9.57,8.23,7
2025-04-17,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,9.43,8.23,3
2025-04-18,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,8.29,8.10,4
2025-04-19,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,7.14,7.90,11
2025-04-20,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,7.00,7.90,10
2025-04-21,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,7.43,8.13,3
2025-04-22,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,6.71,8.17,2
2025-04-23,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,5.71,7.93,10
2025-04-24,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,6.14,8.13,6
2025-04-25,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,6.57,7.97,7
2025-04-26,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,7.00,7.83,12
2025-04-27,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,7.14,8.13,5
2025-04-28,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,6.43,8.23,4
2025-04-29,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,6.57,7.97,3
2025-04-30,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,6.71,7.73,3
2025-05-01,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,5.71,7.50,2
2025-05-02,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,5.14,7.10,5
2025-05-03,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,4.86,6.93,6
2025-05-04,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,4.00,6.67,8
2025-05-05,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,4.43,6.83,9
2025-05-06,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,5.14,6.87,9
2025-05-07,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,6.00,6.93,7
2025-05-08,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,6.57,6.83,9
2025-05-09,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,7.57,7.07,11
2025-05-10,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,8.43,7.17,12
2025-05-11,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,9.29,7.20,7
2025-05-12,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,9.14,7.03,5
2025-05-13,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,8.57,6.80,6
2025-05-14,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,8.14,6.77,7
2025-05-15,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,8.14,6.73,12
2025-05-16,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,8.57,6.83,9
2025-05-17,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,8.29,6.90,8
2025-05-18,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,7.71,7.07,11
2025-05-19,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,8.29,7.30,4
2025-05-20,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,8.14,7.07,7
2025-05-21,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,8.29,6.97,7
2025-05-22,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,8.29,7.10,5
2025-05-23,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,7.29,7.20,8
2025-05-24,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,7.14,7.13,4
2025-05-25,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,6.57,7.07,10
2025-05-26,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,6.43,7.17,8
2025-05-27,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,7.00,7.03,3
2025-05-28,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,6.43,6.97,2
2025-05-29,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,5.71,6.90,2
2025-05-30,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,5.29,6.87,5
2025-05-31,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,4.86,6.93,6
2025-06-01,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,5.14,7.07,13
2025-06-02,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,5.57,7.33,10
2025-06-03,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,5.86,7.47,2
2025-06-04,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,5.71,7.27,2
2025-06-05,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,5.71,7.03,13
2025-06-06,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,7.29,7.17,13
2025-06-07,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,8.43,7.37,9
2025-06-08,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,8.86,7.37,4
2025-06-09,Dubai,Corsets,"Elite Lace Corset",85,1,25,31,1.94,358,15,7.57,7.13,30
2025-06-10,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,10.43,7.73,7
2025-06-11,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,11.14,7.73,8
2025-06-12,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,12.00,7.83,2
2025-06-13,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,10.43,7.70,13
2025-06-14,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,10.43,7.90,7
2025-06-15,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,10.14,7.73,10
2025-06-16,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,11.00,7.77,2
2025-06-17,Dubai,Corsets,"Elite Lace Corset",85,1,32,31,1.94,358,15,7.00,7.57,10
2025-06-18,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,7.43,7.53,11
2025-06-19,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,7.86,7.77,10
2025-06-20,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,9.00,7.87,3
2025-06-21,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,7.57,7.73,13
2025-06-22,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,8.43,8.00,14
2025-06-23,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,9.00,8.20,12
2025-06-24,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,10.43,8.47,10
2025-06-25,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,10.43,8.47,10
2025-06-26,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,10.29,8.53,12
2025-06-27,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,10.57,8.83,9
2025-06-28,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,11.43,9.07,4
2025-06-29,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,10.14,9.13,6
2025-06-30,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,9.00,9.17,3
2025-07-01,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,7.71,9.07,3
2025-07-02,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,6.71,8.73,8
2025-07-03,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,6.43,8.67,4
2025-07-04,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,5.29,8.73,3
2025-07-05,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,4.43,8.77,6
2025-07-06,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,4.71,8.53,2
2025-07-07,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,4.14,8.17,14
2025-07-08,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,5.71,8.33,11
2025-07-09,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,6.86,8.57,13
2025-07-10,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,7.57,8.00,2
2025-07-11,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,7.29,7.83,13
2025-07-12,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,8.71,8.00,6
2025-07-13,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,8.71,8.13,3
2025-07-14,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,8.86,7.80,6
2025-07-15,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,7.71,7.77,13
2025-07-16,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,8.00,7.87,8
2025-07-17,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,7.29,8.07,5
2025-07-18,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,7.71,7.90,6
2025-07-19,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,6.71,7.73,14
2025-07-20,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,7.86,7.87,3
2025-07-21,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,7.86,7.87,12
2025-07-22,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,8.71,7.83,2
2025-07-23,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,7.14,7.43,5
2025-07-24,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,6.71,7.20,7
2025-07-25,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,7.00,7.10,8
2025-07-26,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,7.29,7.03,5
2025-07-27,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,6.00,6.80,7
2025-07-28,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,6.57,6.73,4
2025-07-29,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,5.43,6.73,13
2025-07-30,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,7.00,6.97,7
2025-07-31,Dubai,Corsets,"Elite Lace Corset",85,0,34,31,1.94,358,15,7.29,7.10,9
2025-08-01,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,7.57,7.30,12
2025-08-02,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,8.14,7.43,11
2025-08-03,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,9.00,7.67,11
2025-08-04,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,9.57,7.93,7
2025-08-05,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,10.00,7.97,8
2025-08-06,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,9.29,8.17,3
2025-08-07,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,8.71,7.80,2
2025-08-08,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,7.71,7.50,3
2025-08-09,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,6.43,7.17,2
2025-08-10,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,5.14,7.17,10
2025-08-11,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,5.00,7.07,3
2025-08-12,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,4.43,6.97,6
2025-08-13,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,4.14,7.07,2
2025-08-14,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,4.00,6.93,14
2025-08-15,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,5.71,6.97,10
2025-08-16,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,6.71,7.03,9
2025-08-17,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,7.71,7.17,3
2025-08-18,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,6.71,7.07,11
2025-08-19,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,7.86,6.97,8
2025-08-20,Dubai,Corsets,"Elite Lace Corset",85,0,33,31,1.94,358,15,8.14,7.13,11
2025-08-21,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,9.43,7.10,5
2025-08-22,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,8.14,7.20,6
2025-08-23,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,7.57,7.23,6
2025-08-24,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,7.14,7.20,14
2025-08-25,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,8.71,7.40,14
2025-08-26,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,9.14,7.70,12
2025-08-27,Dubai,Corsets,"Elite Lace Corset",85,0,27,31,1.94,358,15,9.71,7.87,6
2025-08-28,Dubai,Corsets,"Elite Lace Corset",85,0,30,31,1.94,358,15,9.00,7.93,14
2025-08-29,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,10.29,7.97,5
2025-08-30,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,10.14,7.90,8
2025-08-31,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,10.43,7.87,7
2025-09-01,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,9.43,7.70,6
2025-09-02,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,8.29,7.53,10
2025-09-03,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,8.00,7.50,4
2025-09-04,Dubai,Corsets,"Elite Lace Corset",85,0,32,31,1.94,358,15,7.71,7.40,12
2025-09-05,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,7.43,7.53,14
2025-09-06,Dubai,Corsets,"Elite Lace Corset",85,0,25,31,1.94,358,15,8.71,7.90,2
2025-09-07,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,7.86,7.90,12
2025-09-08,Dubai,Corsets,"Elite Lace Corset",85,0,26,31,1.94,358,15,8.57,8.20,13
2025-09-09,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,9.57,8.57,2
2025-09-10,Dubai,Corsets,"Elite Lace Corset",85,0,28,31,1.94,358,15,8.43,8.30,13
2025-09-11,Dubai,Corsets,"Elite Lace Corset",85,0,31,31,1.94,358,15,9.71,8.63,2
2025-09-12,Dubai,Corsets,"Elite Lace Corset",85,0,29,31,1.94,358,15,8.29,8.50,13
